year,season,area,age,n
1977,1,1,14,1643600
1977,1,1,15,1033790
1977,1,1,16,253858
1977,1,1,17,143187
1977,1,1,18,2253240
1977,1,1,19,1233920
1977,1,1,20,308164
1977,1,1,21,251010
1977,1,1,22,1180560
1977,1,1,23,538779
1977,1,1,24,130218
1977,1,1,25,170714
1977,1,1,26,492715
1977,1,1,27,185229
1977,1,1,28,43417.5
1977,1,1,29,87540.3
1977,1,1,30,834116
1977,1,1,31,285285
1977,1,1,32,68474.8
1977,1,1,33,156335
1977,1,1,34,376616
1977,1,1,35,114290
1977,1,1,36,24085.2
1977,1,1,37,65964
1977,1,1,38,372686
1977,1,1,39,108245
1977,1,1,40,705664
1978,1,1,1,1353720
1978,1,1,2,10674100
1978,1,1,3,5318260
1978,1,1,4,1059870
1978,1,1,5,287125
1978,1,1,6,6973730
1978,1,1,7,5385320
1978,1,1,8,1238220
1978,1,1,9,389825
1978,1,1,10,3716060
1978,1,1,11,3028990
1978,1,1,12,728571
1978,1,1,13,247057
1978,1,1,14,2074720
1978,1,1,15,1603260
1978,1,1,16,385176
1978,1,1,17,153302
1978,1,1,18,1087830
1978,1,1,19,734905
1978,1,1,20,173005
1978,1,1,21,96280.7
1978,1,1,22,1481710
1978,1,1,23,852679
1978,1,1,24,207964
1978,1,1,25,164217
1978,1,1,26,766078
1978,1,1,27,362321
1978,1,1,28,86211.3
1978,1,1,29,109787
1978,1,1,30,315787
1978,1,1,31,121873
1978,1,1,32,28299.1
1978,1,1,33,55670.8
1978,1,1,34,530629
1978,1,1,35,185013
1978,1,1,36,44280.4
1978,1,1,37,98693.4
1978,1,1,38,238238
1978,1,1,39,73221.3
1978,1,1,40,799918
1979,1,1,1,1415810
1979,1,1,2,11051400
1979,1,1,3,6302200
1979,1,1,4,1125810
1979,1,1,5,339201
1979,1,1,6,3887290
1979,1,1,7,3247950
1979,1,1,8,660271
1979,1,1,9,229590
1979,1,1,10,4247380
1979,1,1,11,3833660
1979,1,1,12,878474
1979,1,1,13,302590
1979,1,1,14,2465130
1979,1,1,15,2180860
1979,1,1,16,510804
1979,1,1,17,179013
1979,1,1,18,1384020
1979,1,1,19,1128730
1979,1,1,20,262838
1979,1,1,21,104884
1979,1,1,22,714558
1979,1,1,23,503045
1979,1,1,24,115332
1979,1,1,25,63357.2
1979,1,1,26,960806
1979,1,1,27,570836
1979,1,1,28,137181
1979,1,1,29,105747
