year,area,age,f
1975,1,23,0.014520815
1975,1,24,0.014493257
1975,1,25,0.014474046
1975,1,26,0.014460519
1975,1,27,0.01445106
1975,1,28,0.0144445
1975,1,29,0.014439995
1975,1,30,0.014436944
1975,1,31,0.01443491
1975,1,32,0.014433583
1975,1,33,0.014432745
1975,1,34,0.014432242
1975,1,35,0.014431962
1975,1,36,0.014431832
1975,1,37,0.014431798
1975,1,38,0.014431798
1975,1,39,0.014431798
1975,1,40,0.014431798
1976,1,1,5.0765157e-05
1976,1,2,0.03533269
1976,1,3,0.050080513
1976,1,4,0.062747562
1976,1,5,0.054400131
1976,1,6,0.052007669
1976,1,7,0.054922269
1976,1,8,0.051286392
1976,1,9,0.041795571
1976,1,10,0.032940161
1976,1,11,0.027474548
1976,1,12,0.024553242
1976,1,13,0.022856058
1976,1,14,0.021762606
1976,1,15,0.021014077
1976,1,16,0.02048657
1976,1,17,0.020109912
1976,1,18,0.01983948
1976,1,19,0.019645015
1976,1,20,0.019505284
1976,1,21,0.019405117
1976,1,22,0.019333568
1976,1,23,0.019282692
1976,1,24,0.01924672
1976,1,25,0.019221592
1976,1,26,0.019203896
1976,1,27,0.01919152
1976,1,28,0.019182934
1976,1,29,0.019177042
1976,1,30,0.019173045
1976,1,31,0.019170382
1976,1,32,0.019168644
1976,1,33,0.019167546
1976,1,34,0.019166886
1976,1,35,0.019166521
1976,1,36,0.019166348
1976,1,37,0.019166303
1976,1,38,0.019166303
1976,1,39,0.019166303
1976,1,40,0.019166303
1977,1,1,8.215097e-05
1977,1,2,0.026944302
1977,1,3,0.039921209
1977,1,4,0.05122808
1977,1,5,0.045427178
1977,1,6,0.045332051
1977,1,7,0.049917364
1977,1,8,0.048037464
1977,1,9,0.040054485
1977,1,10,0.032065626
1977,1,11,0.026817045
1977,1,12,0.023775065
1977,1,13,0.021878466
1977,1,14,0.020601322
1977,1,15,0.019705954
1977,1,16,0.019067122
1977,1,17,0.018608077
1977,1,18,0.018277456
1977,1,19,0.018039365
1977,1,20,0.017868186
1977,1,21,0.017745453
1977,1,22,0.017657767
1977,1,23,0.017595396
1977,1,24,0.017551265
1977,1,25,0.017520346
1977,1,26,0.017498604
1977,1,27,0.017483423
1977,1,28,0.017472912
1977,1,29,0.017465707
1977,1,30,0.017460833
1977,1,31,0.017457592
1977,1,32,0.017455485
1977,1,33,0.01745416
1977,1,34,0.017453367
1977,1,35,0.017452934
1977,1,36,0.017452736
1977,1,37,0.017452691
1977,1,38,0.017452691
1977,1,39,0.017452691
1977,1,40,0.017452691
1978,1,1,9.79106e-05
1978,1,2,0.035295083
1978,1,3,0.05283848
1978,1,4,0.06778462
