year,season,fishery,area,catch
1985,1,11,5,0
1986,1,11,5,0
1987,1,11,5,36.4382
1988,1,11,5,114.631
1989,1,11,5,89.5958
1990,1,11,5,48.1826
1991,1,11,5,70.1803
1992,1,11,5,201.227
1993,1,11,5,150.61
1994,1,11,5,424.311
1995,1,11,5,309.283
1996,1,11,5,252.504
1997,1,11,5,494.889
1998,1,11,5,446.261
1999,1,11,5,628.686
2000,1,11,5,350.273
2001,1,11,5,632.165
2002,1,11,5,555.258
2003,1,11,5,1019.95
2004,1,11,5,414.798
2005,1,11,5,468.639
2006,1,11,5,384.52
2007,1,11,5,345.594
2008,1,11,5,262.135
2009,1,11,5,287.765
2010,1,11,5,241.835
2011,1,11,5,425.262
2012,1,11,5,156.251
2013,1,11,5,256.508
2014,1,11,5,289.059
2015,1,11,5,346.589
2016,1,11,5,511.921
2017,1,11,5,268.071
2018,1,11,5,334.376
2019,1,11,5,443.994
2020,1,11,5,458.905
2021,1,11,5,566.35
2022,1,11,5,208.479
2023,1,11,5,583.911
2024,1,11,5,607.46
1952,1,12,1,641.268
1953,1,12,1,315.027
1954,1,12,1,1000.21
1955,1,12,1,736.002
1956,1,12,1,181.053
1957,1,12,1,373.965
1958,1,12,1,834.468
1959,1,12,1,1078.99
1960,1,12,1,359.52
1961,1,12,1,694.239
1962,1,12,1,1743.76
1963,1,12,1,569.25
1964,1,12,1,911.733
1965,1,12,1,937.968
1966,1,12,1,1461
1967,1,12,1,848.7
1968,1,12,1,1721.98
1969,1,12,1,963.483
1970,1,12,1,842.52
1971,1,12,1,384.027
1972,1,12,1,210.306
1973,1,12,1,393.732
1974,1,12,1,199.236
1975,1,12,1,60.735
1976,1,12,1,298.497
1977,1,12,1,18.471
1978,1,12,1,229.785
1979,1,12,1,170.991
1980,1,12,1,257.624
1981,1,12,1,11.502
1982,1,12,1,172.5
1983,1,12,1,138.72
1984,1,12,1,221.733
1985,1,12,1,653.559
1986,1,12,1,101.271
1987,1,12,1,185.288
1988,1,12,1,170.191
1989,1,12,1,217.193
1990,1,12,1,137.154
1991,1,12,1,219.705
1992,1,12,1,386.743
1993,1,12,1,63.465
1994,1,12,1,18.394
1995,1,12,1,115.168
1996,1,12,1,25.689
1997,1,12,1,14.42
1998,1,12,1,54.964
1999,1,12,1,11.057
2000,1,12,1,1.509
2001,1,12,1,27.543
2002,1,12,1,21.777
2003,1,12,1,32.789
2004,1,12,1,72.565
2005,1,12,1,58.539
2006,1,12,1,5.748
2007,1,12,1,4.527
2008,1,12,1,14.733
2009,1,12,1,7.476
2010,1,12,1,34.77
2011,1,12,1,5.129
2012,1,12,1,3.888
2013,1,12,1,14.064
2014,1,12,1,0
2015,1,12,1,113.055
2016,1,12,1,88.807
2017,1,12,1,95.013
2018,1,12,1,46.11
2019,1,12,1,124.313
2020,1,12,1,254.298
2021,1,12,1,175.536
2022,1,12,1,175.536
2023,1,12,1,1542.24
2024,1,12,1,175.536
1952,1,13,1,85.494
1953,1,13,1,172.241
1954,1,13,1,140.612
1955,1,13,1,131.222
1956,1,13,1,144.928
1957,1,13,1,54.986
1958,1,13,1,96.664
1959,1,13,1,135.702
1960,1,13,1,107.379
1961,1,13,1,186.935
1962,1,13,1,242.345
1963,1,13,1,118.793
1964,1,13,1,282.956
1965,1,13,1,187.05
1966,1,13,1,121.66
1967,1,13,1,176.266
1968,1,13,1,154.239
1969,1,13,1,785.913
1970,1,13,1,653.441
1971,1,13,1,779.767
1972,1,13,1,668.243
1973,1,13,1,1091.77
1974,1,13,1,666.174
1975,1,13,1,829.013
1976,1,13,1,808.841
1977,1,13,1,855.261
1978,1,13,1,1086.06
1979,1,13,1,668.279
1980,1,13,1,1275.68
1981,1,13,1,1211.71
1982,1,13,1,1454.97
1983,1,13,1,1422.69
1984,1,13,1,1281.45
1985,1,13,1,1326.65
1986,1,13,1,1504.15
1987,1,13,1,1330.31
1988,1,13,1,1509.05
1989,1,13,1,2020.88
1990,1,13,1,1482.52
1991,1,13,1,1061.55
1992,1,13,1,1544.57
1993,1,13,1,936.407
1994,1,13,1,1036.34
1995,1,13,1,913.554
1996,1,13,1,1047.73
1997,1,13,1,1381.07
1998,1,13,1,940.959
1999,1,13,1,1405.94
2000,1,13,1,1157.02
2001,1,13,1,1282.61
2002,1,13,1,917.527
2003,1,13,1,672.254
2004,1,13,1,894.978
2005,1,13,1,1147.8
2006,1,13,1,1122.61
2007,1,13,1,1177.11
2008,1,13,1,1045.61
2009,1,13,1,1324.92
2010,1,13,1,1463.68
2011,1,13,1,958.701
2012,1,13,1,1044.53
2013,1,13,1,821.134
2014,1,13,1,1062.93
2015,1,13,1,695.015
2016,1,13,1,730.833
2017,1,13,1,900.166
2018,1,13,1,1131.56
2019,1,13,1,755.478
2020,1,13,1,809.868
2021,1,13,1,960.808
2022,1,13,1,743.408
2023,1,13,1,771.656
2024,1,13,1,695.256
1952,1,14,2,0
1953,1,14,2,0
1954,1,14,2,0
1955,1,14,2,0
1956,1,14,2,0
1957,1,14,2,0
1958,1,14,2,0
1959,1,14,2,0
1960,1,14,2,0
1961,1,14,2,0
1962,1,14,2,0
1963,1,14,2,0
1964,1,14,2,0
1965,1,14,2,0
1966,1,14,2,0
1967,1,14,2,0
1968,1,14,2,0
1969,1,14,2,0
1970,1,14,2,0
1971,1,14,2,0
1972,1,14,2,0
1973,1,14,2,0
1974,1,14,2,0
1975,1,14,2,0
1976,1,14,2,0
1977,1,14,2,0
1978,1,14,2,0
1979,1,14,2,0
1980,1,14,2,0
1981,1,14,2,0
1982,1,14,2,0
1983,1,14,2,0
1984,1,14,2,689.751
1985,1,14,2,750.75
1986,1,14,2,781.749
1987,1,14,2,888.249
1988,1,14,2,1049.75
1989,1,14,2,1143.5
1990,1,14,2,1311.75
1991,1,14,2,1341.5
1992,1,14,2,1542.25
1993,1,14,2,1413
1994,1,14,2,1567.25
1995,1,14,2,1670
1996,1,14,2,2592
1997,1,14,2,1928.5
1998,1,14,2,2546.25
1999,1,14,2,2416.5
2000,1,14,2,2571.25
2001,1,14,2,2366
2002,1,14,2,2274.25
2003,1,14,2,2319.75
2004,1,14,2,3054.25
2005,1,14,2,1038.5
2006,1,14,2,1062.25
2007,1,14,2,917.25
2008,1,14,2,876.249
2009,1,14,2,3836.25
2010,1,14,2,2673
2011,1,14,2,2684.5
2012,1,14,2,3567.25
2013,1,14,2,2827.25
2014,1,14,2,5789.25
2015,1,14,2,7419.75
2016,1,14,2,5162.5
2017,1,14,2,3128
2018,1,14,2,5842.5
2019,1,14,2,6303.25
2020,1,14,2,6825
2021,1,14,2,8610
2022,1,14,2,5535
2023,1,14,2,5535
2024,1,14,2,23685
1952,1,15,2,0
1953,1,15,2,0
1954,1,15,2,0
1955,1,15,2,0
1956,1,15,2,0
1957,1,15,2,0
1958,1,15,2,0
1959,1,15,2,0
1960,1,15,2,0
1961,1,15,2,0
1962,1,15,2,0
1963,1,15,2,0
1964,1,15,2,0
1965,1,15,2,0
1966,1,15,2,0
1967,1,15,2,0
1968,1,15,2,0
1969,1,15,2,0
1970,1,15,2,958.749
1971,1,15,2,1072.5
1972,1,15,2,1114.5
1973,1,15,2,1333.25
1974,1,15,2,1550
1975,1,15,2,1581.76
1976,1,15,2,1332.5
1977,1,15,2,1889.26
1978,1,15,2,1139.75
1979,1,15,2,1461.5
1980,1,15,2,1336
1981,1,15,2,1474
1982,1,15,2,1363
1983,1,15,2,1480.5
1984,1,15,2,1417
1985,1,15,2,1622.5
1986,1,15,2,1653.76
1987,1,15,2,1206.76
1988,1,15,2,1466.26
1989,1,15,2,1597
1990,1,15,2,2253
